Date,Price
04-11-2019,1787
05-11-2019,1813.5
06-11-2019,1817.5
07-11-2019,1817.5
08-11-2019,1827.5
11-11-2019,1805
12-11-2019,1765.5
13-11-2019,1768
14-11-2019,1756
15-11-2019,1741
18-11-2019,1744
19-11-2019,1734.5
20-11-2019,1748
21-11-2019,1753
22-11-2019,1750
25-11-2019,1753
26-11-2019,1750.5
27-11-2019,1770.5
28-11-2019,1765
29-11-2019,1785.5
02-12-2019,1789.5
03-12-2019,1802
04-12-2019,1771
05-12-2019,1756
06-12-2019,1750.5
09-12-2019,1766
10-12-2019,1750
11-12-2019,1751.5
12-12-2019,1755
13-12-2019,1763.5
16-12-2019,1763
17-12-2019,1754
18-12-2019,1758
19-12-2019,1765.5
20-12-2019,1770.5
23-12-2019,1771.5
24-12-2019,1790.5
27-12-2019,1789
30-12-2019,1791
31-12-2019,1800
02-01-2020,1772
03-01-2020,1758
06-01-2020,1791
07-01-2020,1794
08-01-2020,1771.5
09-01-2020,1771
10-01-2020,1771.5
13-01-2020,1766.5
14-01-2020,1767.5
15-01-2020,1778.5
16-01-2020,1794
17-01-2020,1796
20-01-2020,1807
21-01-2020,1810.5
22-01-2020,1807.5
23-01-2020,1781.5
24-01-2020,1775.5
27-01-2020,1755.5
28-01-2020,1744.5
29-01-2020,1732.5
30-01-2020,1722.5
31-01-2020,1709.5
03-02-2020,1694.5
04-02-2020,1687
05-02-2020,1688
06-02-2020,1698
07-02-2020,1693.5
10-02-2020,1676
11-02-2020,1689.5
12-02-2020,1707
13-02-2020,1701.5
14-02-2020,1704.5
17-02-2020,1678.5
18-02-2020,1681
19-02-2020,1686
20-02-2020,1687
21-02-2020,1677
24-02-2020,1672.5
25-02-2020,1685
26-02-2020,1676.5
27-02-2020,1671
28-02-2020,1663
02-03-2020,1684.5
03-03-2020,1706
04-03-2020,1723.5
05-03-2020,1715
06-03-2020,1687
09-03-2020,1643.5
10-03-2020,1689
11-03-2020,1670.5
12-03-2020,1643
13-03-2020,1677
16-03-2020,1640.5
17-03-2020,1628
18-03-2020,1602.5
19-03-2020,1581
20-03-2020,1580.5
23-03-2020,1536
24-03-2020,1532.5
25-03-2020,1507.5
26-03-2020,1507.5
27-03-2020,1506
30-03-2020,1495
31-03-2020,1489
01-04-2020,1463.5
02-04-2020,1448.5
03-04-2020,1452
06-04-2020,1424.5
07-04-2020,1455.5
08-04-2020,1421.5
09-04-2020,1428.5
14-04-2020,1456
15-04-2020,1469.5
16-04-2020,1476
17-04-2020,1482.5
20-04-2020,1451.5
21-04-2020,1443.5
22-04-2020,1461.5
23-04-2020,1473.5
24-04-2020,1473
27-04-2020,1472.5
28-04-2020,1465
29-04-2020,1464
30-04-2020,1460.5
01-05-2020,1440
04-05-2020,1437
05-05-2020,1438.5
06-05-2020,1443
07-05-2020,1450
11-05-2020,1454.5
12-05-2020,1443
13-05-2020,1439
14-05-2020,1433.5
15-05-2020,1432.5
18-05-2020,1441.5
19-05-2020,1464
20-05-2020,1454
21-05-2020,1487
22-05-2020,1473
26-05-2020,1486
27-05-2020,1504
28-05-2020,1500.5
29-05-2020,1515
01-06-2020,1511.5
02-06-2020,1499.5
03-06-2020,1526
04-06-2020,1535
05-06-2020,1553.5
08-06-2020,1569.5
09-06-2020,1565.5
10-06-2020,1613.5
11-06-2020,1582
12-06-2020,1560
15-06-2020,1546
16-06-2020,1573.5
17-06-2020,1577.5
18-06-2020,1586.5
19-06-2020,1578
22-06-2020,1573
23-06-2020,1577.5
24-06-2020,1564
25-06-2020,1543.5
26-06-2020,1582
29-06-2020,1589
30-06-2020,1602
01-07-2020,1593.5
02-07-2020,1601.5
03-07-2020,1581.5
06-07-2020,1593
07-07-2020,1596.5
08-07-2020,1619
09-07-2020,1659.5
10-07-2020,1639.5
13-07-2020,1664.5
14-07-2020,1640
15-07-2020,1651
16-07-2020,1627
17-07-2020,1618
20-07-2020,1621
21-07-2020,1646.5
22-07-2020,1651
23-07-2020,1661
24-07-2020,1654.5
27-07-2020,1661.5
28-07-2020,1671
29-07-2020,1687
30-07-2020,1681.5
31-07-2020,1685.5
03-08-2020,1679.5
04-08-2020,1709.5
05-08-2020,1739
06-08-2020,1722
07-08-2020,1744
10-08-2020,1730
11-08-2020,1749.5
12-08-2020,1754
13-08-2020,1738
14-08-2020,1730
17-08-2020,1719.5
18-08-2020,1733
19-08-2020,1746.5
20-08-2020,1755.5
21-08-2020,1722.5
24-08-2020,1735.5
25-08-2020,1733
26-08-2020,1737
27-08-2020,1738
28-08-2020,1762
01-09-2020,1781.5
02-09-2020,1778.5
03-09-2020,1743.5
04-09-2020,1753
07-09-2020,1763
08-09-2020,1744
09-09-2020,1740
10-09-2020,1743.5
11-09-2020,1746.5
14-09-2020,1749
15-09-2020,1767
16-09-2020,1759
17-09-2020,1743.5
18-09-2020,1745
21-09-2020,1752.5
22-09-2020,1744
23-09-2020,1718.5
24-09-2020,1697
25-09-2020,1708.5
28-09-2020,1737
29-09-2020,1746
30-09-2020,1737
01-10-2020,1716
02-10-2020,1705
05-10-2020,1741.5
06-10-2020,1755
07-10-2020,1745.5
08-10-2020,1786
09-10-2020,1805.5
12-10-2020,1829.5
13-10-2020,1841
14-10-2020,1836
15-10-2020,1824
16-10-2020,1865.5
19-10-2020,1848
20-10-2020,1826
21-10-2020,1842.5
22-10-2020,1828
23-10-2020,1829
26-10-2020,1822.5
27-10-2020,1808
28-10-2020,1801
29-10-2020,1786
30-10-2020,1820.5
02-11-2020,1834.5
03-11-2020,1891
04-11-2020,1877
05-11-2020,1885.5
06-11-2020,1891.5
09-11-2020,1913
10-11-2020,1880
11-11-2020,1905
12-11-2020,1904.5
13-11-2020,1918
16-11-2020,1933
17-11-2020,1944.5
18-11-2020,1978
19-11-2020,1983
20-11-2020,1984
23-11-2020,1969.5
24-11-2020,1964.5
25-11-2020,1967
26-11-2020,1961.5
27-11-2020,1975
30-11-2020,2014.5
01-12-2020,2045.5
02-12-2020,2051.5
03-12-2020,2028
04-12-2020,2027.5
07-12-2020,2004
08-12-2020,1986
09-12-2020,2010
10-12-2020,2031
11-12-2020,2022
14-12-2020,2042.5
15-12-2020,2022
16-12-2020,2029
17-12-2020,2028
18-12-2020,2049
21-12-2020,2012.5
22-12-2020,1993
23-12-2020,1999
24-12-2020,2022
29-12-2020,2000
30-12-2020,1995.5
31-12-2020,1978
04-01-2021,2013.5
05-01-2021,2027.5
06-01-2021,2062.5
07-01-2021,2008
08-01-2021,2029.5
11-01-2021,2008
12-01-2021,2025.5
13-01-2021,2009.5
14-01-2021,2010.5
15-01-2021,2000.5
18-01-2021,1979.5
19-01-2021,1951.5
20-01-2021,1976
21-01-2021,1992.5
22-01-2021,1975.5
25-01-2021,2011.5
26-01-2021,2025
27-01-2021,2003.5
28-01-2021,1979
29-01-2021,1987
01-02-2021,1985.5
02-02-2021,1958
03-02-2021,1973
04-02-2021,1979.5
05-02-2021,2007.5
08-02-2021,2025.5
09-02-2021,2045.5
10-02-2021,2070.5
11-02-2021,2075.5
12-02-2021,2076
