Date,Price
04-11-2020,116.84
05-11-2020,116.92
06-11-2020,117.63
09-11-2020,119.84
10-11-2020,120.3
11-11-2020,121.59
12-11-2020,121
13-11-2020,120.8
16-11-2020,121.22
17-11-2020,122
18-11-2020,122.29
19-11-2020,122.84
20-11-2020,123.35
23-11-2020,123.18
24-11-2020,123.4
25-11-2020,123.63
27-11-2020,124.25
30-11-2020,124.62
01-12-2020,130.81
02-12-2020,134.56
03-12-2020,135.66
04-12-2020,141.53
07-12-2020,144.34
08-12-2020,145.04
09-12-2020,146.28
10-12-2020,150.7
11-12-2020,152.02
14-12-2020,149.6
15-12-2020,150.31
16-12-2020,150.75
17-12-2020,151.37
18-12-2020,152.49
21-12-2020,155.11
22-12-2020,154.49
23-12-2020,154.5
24-12-2020,155.02
28-12-2020,155.35
29-12-2020,155.57
30-12-2020,155.7
31-12-2020,155.84
04-01-2021,163.93
05-01-2021,166.08
06-01-2021,166.76
07-01-2021,169.31
08-01-2021,169.52
11-01-2021,168.99
12-01-2021,169.33
13-01-2021,169.51
14-01-2021,169.8
15-01-2021,169.97
19-01-2021,170.03
20-01-2021,169.85
21-01-2021,169.98
22-01-2021,169.82
25-01-2021,169.78
26-01-2021,169.52
27-01-2021,169.26
28-01-2021,168.63
29-01-2021,168.13
01-02-2021,154.74
02-02-2021,148.42
03-02-2021,150.81
04-02-2021,155.33
05-02-2021,153.9
08-02-2021,156.1
09-02-2021,158.15
10-02-2021,159.74
11-02-2021,160.08
12-02-2021,159.65
16-02-2021,161
17-02-2021,161.99
18-02-2021,164.59
19-02-2021,164.07
22-02-2021,163.87
23-02-2021,164.16
24-02-2021,164.53
25-02-2021,165.02
26-02-2021,165.61
01-03-2021,171.74
02-03-2021,173.16
03-03-2021,174.12
04-03-2021,174.94
05-03-2021,173.12
08-03-2021,173.56
09-03-2021,168.43
10-03-2021,168.44
11-03-2021,171.28
12-03-2021,168.26
15-03-2021,168.26
16-03-2021,168.26
17-03-2021,168.21
18-03-2021,168.21
19-03-2021,168
22-03-2021,167.37
23-03-2021,167.01
24-03-2021,167.34
25-03-2021,167.05
26-03-2021,166.89
29-03-2021,166.97
30-03-2021,166.99
31-03-2021,166.9
01-04-2021,163.68
05-04-2021,163.89
06-04-2021,166.98
07-04-2021,169.24
08-04-2021,170.45
09-04-2021,170.32
12-04-2021,171.03
13-04-2021,171.04
14-04-2021,171.42
15-04-2021,173.01
16-04-2021,174.89
19-04-2021,174.72
20-04-2021,178.54
21-04-2021,176.2
22-04-2021,176.35
23-04-2021,176.96
26-04-2021,177.58
27-04-2021,178.99
28-04-2021,178.8
29-04-2021,179.31
30-04-2021,179.63
03-05-2021,185.04
04-05-2021,189.72
05-05-2021,190.41
06-05-2021,197.68
07-05-2021,204.35
10-05-2021,215.48
11-05-2021,215.29
12-05-2021,218.38
13-05-2021,212.05
14-05-2021,210.08
17-05-2021,214.99
18-05-2021,213.23
19-05-2021,211.96
20-05-2021,211.15
21-05-2021,209.13
24-05-2021,208.2
25-05-2021,207.01
26-05-2021,206.89
27-05-2021,206.37
28-05-2021,205.73
01-06-2021,204.9
02-06-2021,204.96
03-06-2021,208
04-06-2021,206.29
07-06-2021,202.41
08-06-2021,207.84
09-06-2021,210.19
10-06-2021,211.91
11-06-2021,213.13
14-06-2021,214.05
15-06-2021,213.96
16-06-2021,213.53
17-06-2021,214.69
18-06-2021,214.21
21-06-2021,212.75
22-06-2021,213.45
23-06-2021,213.8
